"book","quote"
"adams2003cheval","Qu’est-ce qu’ils ont donc les Américains à être toujours acharnés à tirer mes lapins ? Je leur ai acheté quelques cartes routières dans l’espoir de pouvoir les persuader de faire quelques longues et saines promenades et de ne plus penser à tirer des lapins."
"adams2003cheval","Revenu au carrefour, il essaya de faire le rapprochement entre les renseignements figurant sur le panneau indicateur et ceux qu’il déchiffrait sur la carte. Mais ça n’était pas possible. Le carrefour se trouvait délibérément sur la partie de la carte à cheval sur deux pages et le panneau tournait malicieusement dans le vent."
"adams2003cheval","Quelques virages plus tard, j’étais complètement perdu. Il y a des gens qui estiment que, dans ces cas-là, on devrait consulter une carte, mais à ces gens-là je réponds simplement : “Ah ! et si vous n’avez pas de carte à consulter ? Et si vous avez une carte et que ce soit celle de la Dordogne ?” Ma stratégie à moi est de trouver une voiture, ou ce qui s’en rapproche le plus, qui ait l’air de savoir où elle va et de la suivre. Je me retrouve rarement là où j’avais l’intention d’aller, mais souvent quelque part où j’avais besoin de me trouver. Qu’est-ce que vous dites de ça ?"
"adams2004tiroir","Ça me rappelle un autre de mes éléments de culture générale favoris : le tracé du Transsibérien fait à un endroit un grand détour en dent de scie avant de redevenir rectiligne, parce que quand le tsar en a ordonné la construction (je ne sais pas de quel tsar il s’agissait, car je ne suis pas dans mon bureau : je suis adossé à un truc affreusement moche, dans le Michigan, et il n’y a pas de livres), il a tracé une ligne sur une carte avec une règle. La règle était ébréchée."
"antelme1947espece","Eux aussi, là-bas, doivent sentir la maison écrasante et ne plus pouvoir penser que ceci : que la pensée la plus violente ne fait pas remuer un caillou. Si j’étais mort et qu’ils le sachent, ils ne regarderaient plus la carte et ne feraient plus le calcul des kilomètres. Les collines, les fleuves atroces ne mureraient plus la maison ; les distances infernales s’annuleraient, l’espace se pacifierait, ils ne seraient plus exilés de la partie du monde respirable."
"arcand1994lieux","En somme, les cartes routières et les cartes maritimes ne sont pas si différentes des cartes de crédit. Les premières guident les voyages dans l'espace, tandis que les secondes permettent le déplacement dans le temps."
"asimov1967robots","Peut-être est-ce en considération de ce fait que Ching ne possédait que deux cartes pour tout ornement, dans son bureau. L’une était un vieux document tracé à la main, représentant un arpent de terre ou deux et portant les pictogrammes, actuellement tombés en désuétude, de la Chine antique. Une petite crique était dessinée de biais sur des lignes passées et l’on distinguait les délicats coups de pinceau indiquant des huttes basses, dans l’une desquelles était né le grand-père de Ching."
"asimov1967robots","La seconde carte était immense, d’un graphisme précis, avec tous les noms inscrits en caractères cyrilliques soignés. La frontière rouge qui délimitait la Région Est englobait dans son enceinte tout ce qui avait été autrefois la Chine, les Indes, la Birmanie, l’Indochine et l’Indonésie. Sur cette carte, dans la vieille province de Szechuan, se trouvait une petite marque si légère que nul ne pouvait la voir et qui indiquait l’emplacement de la ferme ancestrale de Ching."
"aswany2018nil","Quand ils furent rassurés au sujet du film, ils commencèrent à discuter des détails de l'opération. Un jeune du Six Avril sortit une carte :<br/>– Nous pourrions commencer par Dar es-Salam puis El-Moassera et Turah."
"atwood2017servante","Il avait dit que les passeports étaient à toute épreuve, et nous avions eu si peu de temps pour nous organiser. Peut-être avait-il un plan, une espèce de carte en tête."
"balzac1833grandet","En revenant de la messe où elle alla le lendemain du départ de Charles, et où elle avait fait vœu d’aller tous les jours, elle prit, chez le libraire de la ville, une mappemonde qu’elle cloua près de son miroir, afin de suivre son cousin dans sa route vers les Indes, afin de pouvoir se mettre un peu, soir et matin, dans le vaisseau qui l’y transportait, de le voir, de lui adresser mille questions, de lui dire : — Es-tu bien ? ne souffres-tu pas ? penses-tu bien à moi, en voyant cette étoile dont tu m’as appris à connaître les beautés et l’usage ? Puis, le matin, elle restait pensive sous le noyer, assise sur le banc de bois rongé par les vers et garni de mousse grise où ils s’étaient dit tant de bonnes choses, de niaiseries, où ils avaient bâti les châteaux en Espagne de leur joli ménage."
"balzac1855catherine","Quand même les savants et les bibliothèques ne posséderaient pas de cartes où le Louvre sous Charles IX est parfaitement indiqué, le monument porte la réfutation de cette erreur. Tous les rois qui ont coopéré à cette œuvre immense n’ont jamais manqué d’y graver leur chiffre ou une anagramme quelconque."
"balzac1972chagrin","A cette heure maudite, vous rencontrerez des yeux dont le calme effraie, des visages qui vous fascinent, des regards qui soulèvent les cartes et les dévorent. Aussi les maisons de jeu ne sont-elles sublimes qu’à l’ouverture de leurs séances."
"barbusse1921couteau","« L’Ordre » est avant tout financier ; la carte du monde est un schéma financier ; la vraie structure de l’histoire est faite par les traités de commerce, la géographie véritable est dessinée par les barrières des tarifs. Comme c’est le pouvoir abusif et la répartition désordonnée et anarchique de la richesse qui est en question, la richesse — maîtresse de la ruine et de la misère — se défend tout entière. Elle pèse encore de tout son poids décisif dans la balance déséquilibrée. Ils ont pour eux tout ce qui brille, tout ce qui s’achète et tout ce qui se corrompt."
"baricco1997soie","Le quarante-deuxième, il capitula, ouvrit un tiroir de sa malle de voyage, en sortit une carte du Japon, la déplia, et prit la petite feuille qu'il y avait caché, des mois plus tôt."
"baricco1997soie","Hervé Joncour avait vingt-quatre ans alors. Baldabiou l'invita chez lui, étala sous ses yeux un atlas rempli de noms exotiques et lui dit : Félicitations. Tu as enfin trouvé un travail mon garçon."
"baricco1997soie","Il n'avait que quelques cartes, approximatives, et ce qu'il lui restait de ses souvenirs."
"baricco2014ocean","La présente information doit être tenue véridique et, en conséquence, devra figurer sur tous les documents et cartes du royaume."
"barjavel1943ravage","Pendant les cinquante dernières années, les villes avaient débordé de ces limites rondes qu’on leur voit sur les cartes du XXe siècle. Elles s’étaient déformées, étirées le long des voies ferrées, des autostrades, des cours d’eau. Elles avaient fini par se rejoindre et ne formaient plus qu’une seule agglomération en forme de dentelle, un immense réseau d’usines, d’entrepôts, de cités ouvrières, de maisons bourgeoises, d’immeubles champignons."
"barjavel1943ravage","Rentré au camp, François consulta les cartes. Elles lui montrèrent le magnifique réseau d’autostrades, squelette autour duquel s’arrondissait la chair des villes soudées les unes aux autres en un seul corps. Mais entre ces villes, à part une ceinture de bois et jardins truffés de villas, qui s’étendait à cinquante kilomètres autour de Paris, à part la région méridionale coupée de nombreuses routes, à part quelques cités de loisirs au cœur de la campagne, les cartes ne montraient rien que les taches jaunes de la brousse qui avait remplacé les champs cultivés et envahi les chemins."
